"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.650000000E0,2.499999944E-3,8.899999782E-3,-4.959999770E-2,5.045413529E-2
2.660000000E0,2.399999881E-3,-1.059999969E-2,-5.939999968E-2,6.038609074E-2
2.670001563E0,2.399999881E-3,-7.999999798E-4,-5.939999968E-2,5.945384732E-2
2.680000000E0,-7.299999706E-3,-1.059999969E-2,-4.959999770E-2,5.124265568E-2
2.690000000E0,-7.199999876E-3,8.899999782E-3,-3.979999945E-2,4.141364449E-2
2.700000000E0,1.219999976E-2,-8.999999845E-4,-5.939999968E-2,6.064659888E-2
2.710000000E0,2.399999881E-3,-8.999999845E-4,-5.939999968E-2,5.945527698E-2
2.720000000E0,-7.299999706E-3,-8.999999845E-4,-4.959999770E-2,5.014239491E-2
2.730000000E0,-7.199999876E-3,8.700000122E-3,-6.920000166E-2,7.011540651E-2
2.740000000E0,1.219999976E-2,-1.059999969E-2,-5.939999968E-2,6.155940180E-2
2.750000000E0,2.300000051E-3,-7.999999798E-4,-7.899999619E-2,7.903751892E-2
2.760000000E0,1.209999993E-2,-1.059999969E-2,-6.920000166E-2,7.104512806E-2
2.770000000E0,2.180000022E-2,-7.999999798E-4,-4.959999770E-2,5.418523582E-2
2.780000000E0,1.200000010E-2,-8.999999845E-4,-5.939999968E-2,6.060668250E-2
2.790000000E0,2.199999988E-3,-8.999999845E-4,-6.920000166E-2,6.924081332E-2
2.800000000E0,2.099999925E-3,-8.999999845E-4,-6.920000166E-2,6.923770814E-2
2.810000000E0,1.189999934E-2,-8.999999845E-4,-7.899999619E-2,7.989630393E-2
2.820000000E0,2.199999988E-3,8.700000122E-3,-5.939999968E-2,6.007403735E-2
2.830001563E0,-7.499999832E-3,-1.069999952E-2,-6.920000166E-2,7.042286714E-2
2.840000000E0,2.199999988E-3,-8.999999845E-4,-6.920000166E-2,6.924081332E-2
2.850000000E0,-7.299999706E-3,-1.090000011E-2,-4.959999770E-2,5.130555301E-2
2.860000000E0,-1.129999943E-2,-1.129999943E-2,-4.959999770E-2,5.211084096E-2
2.870000000E0,-9.999999311E-4,-6.999999750E-4,-5.939999968E-2,5.941254044E-2
