"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.760000000E0,-6.499999668E-3,-3.000000026E-3,-5.939999968E-2,5.982984170E-2
1.770003125E0,-6.599999964E-3,6.799999624E-3,-4.959999770E-2,5.049712632E-2
1.780000000E0,3.099999856E-3,-2.799999900E-3,-4.959999770E-2,4.977559412E-2
1.790003125E0,-2.630000003E-2,-2.699999837E-3,-5.939999968E-2,6.501799722E-2
1.800000000E0,-3.899999894E-3,6.999999750E-4,-4.959999770E-2,4.975801213E-2
1.810000000E0,-2.499999944E-3,4.999999655E-4,-3.979999945E-2,3.988157414E-2
1.820000000E0,-1.899999916E-3,7.199999876E-3,-4.959999770E-2,5.015585479E-2
1.830000000E0,-1.599999890E-2,-1.599999960E-3,-5.949999765E-2,6.163448454E-2
1.840000000E0,9.699999355E-3,-9.999999311E-4,-5.939999968E-2,6.019509905E-2
1.850000000E0,6.699999794E-3,6.300000008E-3,-3.979999945E-2,4.084874482E-2
1.860000000E0,-2.499999944E-3,5.099999718E-3,-5.939999968E-2,5.967093060E-2
1.870000000E0,-2.589999884E-2,-3.499999875E-3,-7.909999788E-2,8.330587977E-2
1.880000000E0,-4.900000058E-3,-2.499999851E-2,-5.949999765E-2,6.472449031E-2
1.890000000E0,-3.700000001E-3,3.099999856E-3,-3.989999741E-2,4.019091679E-2
1.900000000E0,1.159999985E-2,1.719999872E-2,-4.959999770E-2,5.376392586E-2
1.910000000E0,-7.899999619E-3,-1.200000010E-2,-6.929999590E-2,7.077357860E-2
1.920000000E0,1.799999969E-3,-1.999999862E-3,-6.929999590E-2,6.935221288E-2
1.930000000E0,1.599999960E-3,-1.999999862E-3,-5.949999765E-2,5.955509818E-2
1.940000000E0,2.109999955E-2,2.740000002E-2,-6.929999590E-2,7.744972184E-2
1.950000000E0,-1.799999923E-2,-2.099999925E-3,-5.949999765E-2,6.219855056E-2
1.960000000E0,-8.200000040E-3,-1.899999916E-3,-7.909999788E-2,7.954658801E-2
1.970000000E0,1.300000004E-3,7.799999788E-3,-4.959999770E-2,5.022638518E-2
1.980000000E0,1.199999941E-3,-1.799999969E-3,-5.939999968E-2,5.943938056E-2
1.990000000E0,-8.499999531E-3,7.999999449E-3,-4.959999770E-2,5.095497773E-2
2.000000000E0,-8.499999531E-3,8.100000210E-3,-5.939999968E-2,6.054931839E-2
2.010000000E0,1.090000011E-2,-1.399999950E-3,-4.959999770E-2,5.080285203E-2
2.020000000E0,1.099999994E-3,-1.199999941E-3,-4.959999770E-2,4.962670422E-2
2.030000000E0,-8.700000122E-3,-1.079999935E-2,-4.959999770E-2,5.150232771E-2
2.040000000E0,-8.700000122E-3,8.799999952E-3,-5.939999968E-2,6.067528297E-2
2.050000000E0,7.999999798E-4,-6.999999750E-4,-4.959999770E-2,4.961138752E-2
2.060000000E0,6.999999750E-4,8.999999613E-3,-5.939999968E-2,6.008202689E-2
2.070000000E0,-8.999999613E-3,8.899999782E-3,-4.959999770E-2,5.118954738E-2
2.080000000E0,-1.030000020E-2,1.339999959E-2,-5.939999968E-2,6.175767122E-2
2.090000000E0,4.699999932E-3,1.999999862E-3,-4.959999770E-2,4.986230812E-2
2.100000000E0,-1.019999944E-2,8.200000040E-3,-5.939999968E-2,6.082466565E-2
2.110000000E0,-7.100000046E-3,-8.999999845E-4,-4.969999939E-2,5.021264721E-2
2.120000000E0,-8.299999870E-3,1.199999941E-3,-4.959999770E-2,5.030397369E-2
2.130000000E0,7.999999798E-4,7.499999832E-3,-3.979999945E-2,4.050839362E-2
2.140000000E0,3.999999899E-4,-8.799999952E-3,-4.959999770E-2,5.037618258E-2
2.150000000E0,-9.699999355E-3,2.699999837E-3,-5.939999968E-2,6.024732316E-2
2.160000000E0,6.899999920E-3,1.649999991E-2,-4.959999770E-2,5.272589276E-2
2.170000000E0,-9.300000034E-3,5.099999718E-3,-4.959999770E-2,5.072139361E-2
2.180000000E0,9.999999747E-5,-1.049999986E-2,-4.959999770E-2,5.069930738E-2
2.190000000E0,-9.999999747E-5,-8.299999870E-3,-5.939999968E-2,5.997716198E-2
2.200000000E0,-7.899999619E-3,8.399999700E-3,-5.949999765E-2,6.060709289E-2
2.210003125E0,8.299999870E-3,6.199999712E-3,-4.959999770E-2,5.067040326E-2
2.220001563E0,-8.899999782E-3,-1.019999944E-2,-6.920000166E-2,7.051163176E-2
2.230000000E0,1.519999932E-2,-9.999999747E-5,-5.939999968E-2,6.131402728E-2
2.240000000E0,-1.079999935E-2,0.000000000E0,-5.939999968E-2,6.037383496E-2
2.250000000E0,-8.999999845E-4,0.000000000E0,-4.959999770E-2,4.960816235E-2
2.260000000E0,-1.139999926E-2,2.180000022E-2,-5.939999968E-2,6.429276751E-2
2.270000000E0,5.799999926E-3,1.599999960E-3,-4.959999770E-2,4.996358445E-2
2.280000000E0,4.199999850E-3,1.300000004E-3,-5.939999968E-2,5.956248786E-2
2.290000000E0,3.000000026E-3,8.599999361E-3,-5.939999968E-2,6.009425888E-2
2.300000000E0,-5.099999718E-3,6.399999838E-3,-4.959999770E-2,5.027056561E-2
2.310000000E0,-1.159999985E-2,-2.399999881E-3,-5.939999968E-2,6.056962900E-2
2.320001563E0,-1.599999960E-3,-1.799999969E-3,-5.939999968E-2,5.944880118E-2
2.330000000E0,-1.599999960E-3,-1.300000004E-3,-5.939999968E-2,5.943576332E-2
2.340000000E0,-1.300000004E-3,-8.999999845E-4,-4.959999770E-2,4.962519291E-2
2.350000000E0,-8.499999531E-3,6.999999750E-3,-5.949999765E-2,6.051032729E-2
2.360000000E0,7.400000002E-3,-1.799999969E-3,-3.979999945E-2,4.052209219E-2
2.370000000E0,-1.209999993E-2,-1.599999960E-3,-5.939999968E-2,6.064099241E-2
2.380000000E0,-1.200000010E-2,8.200000040E-3,-3.979999945E-2,4.237074414E-2
2.390000000E0,-1.200000010E-2,-1.300000004E-3,-4.959999770E-2,5.104752466E-2
2.400000000E0,7.499999832E-3,-1.199999941E-3,-5.939999968E-2,5.988363682E-2
2.410000000E0,-2.300000051E-3,1.850000024E-2,-5.939999968E-2,6.225672631E-2
2.420000000E0,7.400000002E-3,8.799999952E-3,-5.939999968E-2,6.050256161E-2
2.430000000E0,-1.209999993E-2,-7.999999798E-4,-5.939999968E-2,6.062515946E-2
2.440000000E0,-2.600000007E-3,-9.999999311E-4,-5.939999968E-2,5.946528367E-2
2.450000000E0,-1.260000002E-2,-1.199999941E-3,-5.939999968E-2,6.073351597E-2
2.460000000E0,-1.260000002E-2,-1.099999994E-3,-5.939999968E-2,6.073162242E-2
2.470000000E0,6.999999750E-3,8.899999782E-3,-4.959999770E-2,5.087602347E-2
2.480000000E0,6.799999624E-3,1.869999990E-2,-5.939999968E-2,6.264415338E-2
2.490000000E0,-3.000000026E-3,-7.999999798E-4,-4.959999770E-2,4.969708011E-2
2.500000000E0,-1.279999968E-2,-1.049999986E-2,-3.979999945E-2,4.310603142E-2
2.510000000E0,-1.269999985E-2,-5.999999703E-4,-5.939999968E-2,6.074545216E-2
2.520000000E0,-1.279999968E-2,-1.040000003E-2,-5.939999968E-2,6.164705957E-2
2.530000000E0,-3.299999982E-3,-1.030000020E-2,-5.939999968E-2,6.037665083E-2
2.540000000E0,6.399999838E-3,-5.999999703E-4,-5.939999968E-2,5.974679874E-2
2.550000000E0,-3.199999919E-3,-1.019999944E-2,-7.899999619E-2,7.972000618E-2
2.560000000E0,6.099999882E-3,-2.999999851E-4,-5.939999968E-2,5.971314730E-2
2.570000000E0,-3.700000001E-3,-9.999999776E-3,-4.959999770E-2,5.073312298E-2
2.580000000E0,-3.700000001E-3,9.599999525E-3,-4.959999770E-2,5.065579693E-2
2.590000000E0,-1.349999942E-2,6.499999668E-3,-5.939999968E-2,6.126059045E-2
2.600000000E0,-7.799999788E-3,9.399999864E-3,-5.949999765E-2,6.074084058E-2
2.610000000E0,-9.699999355E-3,1.349999942E-2,-5.939999968E-2,6.168224974E-2
2.620000000E0,-9.999999747E-5,2.699999837E-3,-5.939999968E-2,5.946141573E-2
2.630000000E0,-2.999999851E-4,8.700000122E-3,-4.959999770E-2,5.035811527E-2
2.640000000E0,5.699999630E-3,-4.999999655E-4,-2.999999933E-2,3.054079166E-2
2.650000000E0,-1.850000024E-2,-3.999999899E-4,-5.939999968E-2,6.221551230E-2
2.660000000E0,7.899999619E-3,-2.999999851E-4,-5.939999968E-2,5.992378456E-2
2.670000000E0,-1.500000013E-3,-9.999999747E-5,-5.939999968E-2,5.941902020E-2
2.680000000E0,5.799999926E-3,-7.100000046E-3,-4.959999770E-2,5.044016030E-2
2.690000000E0,1.119999960E-2,-4.999999888E-3,-4.949999973E-2,5.099696033E-2
2.700000000E0,7.599999662E-3,3.299999982E-3,-3.969999775E-2,4.055539195E-2
2.710000000E0,-9.300000034E-3,-4.900000058E-3,-5.929999799E-2,6.022449470E-2
2.720000000E0,-1.929999888E-2,-4.699999932E-3,-5.929999799E-2,6.253854585E-2
2.730000000E0,-9.599999525E-3,1.489999983E-2,-3.969999775E-2,4.347711821E-2
2.740000000E0,-1.929999888E-2,2.449999936E-2,-5.929999799E-2,6.700171406E-2
2.750000000E0,-1.929999888E-2,4.999999888E-3,-5.929999799E-2,6.256180717E-2
2.760000000E0,-1.919999905E-2,5.099999718E-3,-3.969999775E-2,4.439301502E-2
2.770000000E0,-1.919999905E-2,1.489999983E-2,-4.949999973E-2,5.514435540E-2
2.780000000E0,-9.300000034E-3,5.200000014E-3,-6.909999996E-2,6.991666465E-2
2.790000000E0,-9.300000034E-3,5.299999844E-3,-4.949999973E-2,5.064415043E-2
2.800000000E0,-9.300000034E-3,-4.299999680E-3,-6.909999996E-2,6.985549365E-2
2.810000000E0,3.999999899E-4,5.599999800E-3,-3.969999775E-2,4.009500991E-2
2.820000000E0,-1.699999906E-2,8.499999531E-3,-5.929999799E-2,6.227150007E-2
2.830000000E0,-4.699999932E-3,1.150000002E-2,-5.939999968E-2,6.068525325E-2
2.840000000E0,-1.049999986E-2,8.299999870E-3,-6.920000166E-2,7.048248168E-2
2.850000000E0,-6.999999750E-4,6.000000052E-3,-5.939999968E-2,5.970636450E-2
2.860000000E0,-1.799999969E-3,9.200000204E-3,-5.939999968E-2,6.013518076E-2
2.870000000E0,-1.399999950E-3,-2.999999851E-4,-4.959999770E-2,4.962065872E-2
2.880000000E0,-8.299999870E-3,1.399999950E-2,-4.969999939E-2,5.229703551E-2
2.890000000E0,6.999999750E-4,-3.799999831E-3,-4.959999770E-2,4.975027407E-2
2.900000000E0,-6.899999920E-3,1.219999976E-2,-5.949999765E-2,6.112855072E-2
2.910000000E0,1.899999916E-3,-1.329999976E-2,-6.929999590E-2,7.059029271E-2
2.920000000E0,-5.299999844E-3,-8.999999613E-3,-3.989999741E-2,4.124439095E-2
2.930000000E0,3.099999856E-3,-6.799999624E-3,-5.949999765E-2,5.996748881E-2
